species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ
Mm Hs	REG3A	Acinar cells	REG-III|REG3|PBCGF	0.005	regenerating family member 3 alpha	protein-coding gene	1	Endoderm	Pancreas
Hs	SERPINA3	Acinar cells	AACT	0.0	serpin family A member 3	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	PRSS3	Acinar cells	TRY4|PRSS4	0.003	serine protease 3	protein-coding gene	1	Endoderm	Pancreas
Hs	REG1B	Acinar cells	PSPS2|REGH|REGI-BETA	0.003	regenerating family member 1 beta	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	CFB	Acinar cells	H2-Bf|BFD|BF	0.001	complement factor B	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	GDF15	Acinar cells	PLAB|MIC-1|PDF|NAG-1|PTGFB	0.009	growth differentiation factor 15	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	MUC1	Acinar cells	CD227|PEM|ADMCKD|ADMCKD1|MCKD|MCKD1	0.009	mucin 1, cell surface associated	protein-coding gene	1	Endoderm	Pancreas
Hs	C15ORF48	Acinar cells	NMES1|MIR147BHG	0.015	chromosome 15 open reading frame 48	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	DUOXA2	Acinar cells	NA	0.0	dual oxidase maturation factor 2	protein-coding gene	1	Endoderm	Pancreas
Hs	AKR1C3	Acinar cells	KIAA0119|DDX|HAKRB|PGFS|HSD17B5	0.008	aldo-keto reductase family 1 member C3	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	OLFM4	Acinar cells	OlfD|GW112	0.013	olfactomedin 4	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	GSTA1	Acinar cells	NA	0.012	glutathione S-transferase alpha 1	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	LGALS2	Acinar cells	HL14	0.028	galectin 2	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	PDZK1IP1	Acinar cells	DD96|MAP17|SPAP	0.026	PDZK1 interacting protein 1	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	RARRES2	Acinar cells	TIG2|HP10433	0.026	retinoic acid receptor responder 2	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	CXCL17	Acinar cells	Dcip1|UNQ473|VCC1	0.005	C-X-C motif chemokine ligand 17	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	UBD	Acinar cells	FAT10	0.0	ubiquitin D	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	GSTA2	Acinar cells	GST2	0.008	glutathione S-transferase alpha 2	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	ANPEP	Acinar cells	gp150|CD13|PEPN	0.011	alanyl aminopeptidase, membrane	protein-coding gene	1	Endoderm	Pancreas
Hs	LYZ	Acinar cells	NA	0.008	lysozyme	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	ANGPTL4	Acinar cells	pp1158|PGAR|ARP4|HFARP|FIAF	0.031	angiopoietin like 4	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	ALDOB	Acinar cells	NA	0.029	aldolase, fructose-bisphosphate B	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	CEBPA	Adipocyte progenitor cells	C/EBP-alpha|CEBP	0.018	CCAAT enhancer binding protein alpha	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	EGFR	Adipocyte progenitor cells	ERBB1|ERBB	0.015	epidermal growth factor receptor	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	FGF10	Adipocyte progenitor cells	NA	0.001	fibroblast growth factor 10	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	GSC	Adipocyte progenitor cells	NA	0.0	goosecoid homeobox	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	MMP3	Adipocyte progenitor cells	STMY1|STMY	0.003	matrix metallopeptidase 3	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	PPARG	Adipocyte progenitor cells	PPARG1|PPARG2|NR1C3|PPARgamma	0.002	peroxisome proliferator activated receptor gamma	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	TWIST2	Adipocyte progenitor cells	DERMO1|Dermo-1|bHLHa39	0.011	twist family bHLH transcription factor 2	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	GATA3	Adipocyte progenitor cells	HDR	0.027	GATA binding protein 3	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	GLI1	Adipocyte progenitor cells	GLI	0.0	GLI family zinc finger 1	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	SMO	Adipocyte progenitor cells	FZD11|SMOH	0.004	smoothened, frizzled class receptor	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	STAB1	Adipocyte progenitor cells	KIAA0246|STAB-1|FEEL-1|CLEVER-1|FELE-1|FEX1|SCARH2	0.015	stabilin 1	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	WISP2	Adipocyte progenitor cells	CTGF-L|CCN5	0.003	WNT1 inducible signaling pathway protein 2	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	WT1	Adipocyte progenitor cells	WIT-2|AWT1|NPHS4|GUD	0.008	Wilms tumor 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	SCARA5	Adipocyte progenitor cells	FLJ23907|MGC45780|NET33	0.008	scavenger receptor class A member 5	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	HOXC8	Adipocyte progenitor cells	HOX3A	0.006	homeobox C8	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	TCF7L1	Adipocyte progenitor cells	TCF3	0.008	transcription factor 7 like 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	HOXC9	Adipocyte progenitor cells	HOX3B	0.005	homeobox C9	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	HOXC6	Adipocyte progenitor cells	HOX3C	0.004	homeobox C6	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	HOXC4	Adipocyte progenitor cells	HOX3E	0.003	homeobox C4	protein-coding gene	NA	Mesoderm	Connective tissue
Hs	ZNF521	Adipocyte progenitor cells	EHZF|Evi3	0.002	zinc finger protein 521	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	SULT1E1	Adipocyte progenitor cells	STE	0.002	sulfotransferase family 1E member 1	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	SLC36A2	Adipocytes	PAT2|tramdorin|TRAMD1	0.002	solute carrier family 36 member 2	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	P2RX5	Adipocytes	P2X5	0.0	purinergic receptor P2X 5	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	LEP	Adipocytes	OBS	0.0	leptin	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	UCP1	Adipocytes	SLC25A7|UCP	0.0	uncoupling protein 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	CIDEA	Adipocytes	CIDE-A	0.004	cell death-inducing DFFA-like effector a	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	PRDM16	Adipocytes	MEL1|PFM13|KIAA1675|MGC166915|KMT8F	0.001	PR/SET domain 16	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	LHX8	Adipocytes	Lhx7	0.002	LIM homeobox 8	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	EPSTI1	Adipocytes	BRESI1|MGC29634	0.033	epithelial stromal interaction 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	MC2R	Adipocytes	ACTHR	0.0	melanocortin 2 receptor	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	FFAR2	Adipocytes	FFA2R|GPR43	0.011	free fatty acid receptor 2	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	PIKFYVE	Adipocytes	MGC40423|KIAA0981|PIKfyve|PIP5K|p235|ZFYVE29|FAB1|PIP5K3	0.003	phosphoinositide kinase, FYVE-type zinc finger containing	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	CYP11B2	Adipocytes	CYP11BL|P-450C18|P450aldo|ALDOS	0.0	cytochrome P450 family 11 subfamily B member 2	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	TLR2	Adipocytes	TIL4|CD282	0.011	toll like receptor 2	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	TLR4	Adipocytes	hToll|CD284|TLR-4|ARMD10	0.0	toll like receptor 4	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	ADRB1	Adipocytes	ADRB1R	0.002	adrenoceptor beta 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	ADRB2	Adipocytes	ADRBR|B2AR|ADRB2R	0.014	adrenoceptor beta 2	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	ADRB3	Adipocytes	NA	0.001	adrenoceptor beta 3	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	FABP4	Adipocytes	A-FABP|aP2	0.024	fatty acid binding protein 4	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	TNFRSF9	Adipocytes	CD137|4-1BB|ILA	0.003	TNF receptor superfamily member 9	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	TBX1	Adipocytes	VCF	0.002	T-box 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	TMEM26	Adipocytes	MGC35010|Em:AC068892.1	0.002	transmembrane protein 26	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	TCF21	Adipocytes	POD1|bHLHa23	0.012	transcription factor 21	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	ADIPOQ	Adipocytes	ACRP30|AdipoQ|apM1|GBP28|adiponectin|ACDC	0.001	adiponectin, C1Q and collagen domain containing	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	CFD	Adipocytes	ADN|DF|PFD	0.02	complement factor D	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	ACVR1C	Adipocytes	ALK7|ACVRLK7	0.001	activin A receptor type 1C	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	SLC2A4	Adipocytes	GLUT4	0.001	solute carrier family 2 member 4	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	LPIN1	Adipocytes	KIAA0188	0.013	lipin 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	PLIN1	Adipocytes	PLIN	0.0	perilipin 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	PCK1	Adipocytes	PEPCK-C	0.007	phosphoenolpyruvate carboxykinase 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	PPARG	Adipocytes	PPARG1|PPARG2|NR1C3|PPARgamma	0.002	peroxisome proliferator activated receptor gamma	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	RETN	Adipocytes	FIZZ3|ADSF|RETN1	0.001	resistin	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	MEST	Adipocytes	PEG1	0.035	mesoderm specific transcript	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	ADM2	Adipocytes	AM2|FLJ21135	0.0	adrenomedullin 2	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	STAT6	Adipocytes	D12S1644|IL-4-STAT	0.008	signal transducer and activator of transcription 6	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	TFE3	Adipocytes	TFEA|bHLHe33	0.004	transcription factor binding to IGHM enhancer 3	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	CPPED1	Adipocytes	CSTP1|FLJ11151	0.007	calcineurin like phosphoesterase domain containing 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	APPL2	Adipocytes	FLJ10659|DIP13B	0.009	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	APOL6	Adipocytes	APOL-VI|APOLVI	0.004	apolipoprotein L6	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	PXMP2	Adipocytes	PMP22	0.006	peroxisomal membrane protein 2	protein-coding gene	NA	Mesoderm	Connective tissue
Hs	CAVIN1	Adipocytes	cavin-1|CGL4|PTRF	0.023	caveolae associated protein 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	AGT	Adipocytes	SERPINA8	0.017	angiotensinogen	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	SLC1A5	Adipocytes	AAAT|ASCT2|RDRC|M7V1	0.033	solute carrier family 1 member 5	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	ACSL1	Adipocytes	LACS|ACS1|LACS1|FACL1|FACL2	0.024	acyl-CoA synthetase long chain family member 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm	CAR3	Adipocytes	NA	0.005	carbonic anhydrase 3	protein coding gene	1	Mesoderm	Connective tissue
Mm Hs	BCAT2	Adipocytes	BCAM|BCT2	0.017	branched chain amino acid transaminase 2	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	PNPLA2	Adipocytes	desnutrin|TTS-2.2|ATGL|FP17548|iPLA2zeta	0.017	patatin like phospholipase domain containing 2	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	CIDEC	Adipocytes	CIDE-3|FLJ20871|Fsp27	0.002	cell death inducing DFFA like effector c	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	CDO1	Adipocytes	NA	0.037	cysteine dioxygenase type 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	APOC1	Adipocytes	NA	0.038	apolipoprotein C1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	MMP2	Adipocytes	TBE-1|CLG4|CLG4A	0.042	matrix metallopeptidase 2	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	POSTN	Adipocytes	OSF-2|PN|periostin	0.034	periostin	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	LOX	Adipocytes	NA	0.014	lysyl oxidase	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	COL6A2	Adipocytes	NA	0.048	collagen type VI alpha 2 chain	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	ZBTB16	Adipocytes	PLZF|ZNF145	0.006	zinc finger and BTB domain containing 16	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	GULP1	Adipocytes	CED6|CED-6|GULP	0.01	GULP, engulfment adaptor PTB domain containing 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	FZD4	Adipocytes	CD344	0.005	frizzled class receptor 4	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	TRIP10	Adipocytes	HSTP|CIP4|STOT	0.005	thyroid hormone receptor interactor 10	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	FGF7	Adipocytes	KGF	0.004	fibroblast growth factor 7	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	MAOB	Adipocytes	NA	0.009	monoamine oxidase B	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	SOCS1	Adipocytes	SOCS-1|SSI-1|JAB|TIP3|Cish1	0.011	suppressor of cytokine signaling 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	ARNT	Adipocytes	HIF-1beta|bHLHe2	0.005	aryl hydrocarbon receptor nuclear translocator	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	SULT1A1	Adipocytes	P-PST|STP1	0.008	sulfotransferase family 1A member 1	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	NNMT	Adipocytes	NA	0.017	nicotinamide N-methyltransferase	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	AOC3	Adipocytes	VAP1|HPAO|VAP-1	0.004	amine oxidase, copper containing 3	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	H6PD	Adipocytes	NA	0.003	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	CYP27A1	Adipocytes	CTX|CYP27	0.005	cytochrome P450 family 27 subfamily A member 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	EBF2	Adipocytes	FLJ11500|COE2	0.006	early B cell factor 2	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	MNDA	Adipocytes	PYHIN3	0.017	myeloid cell nuclear differentiation antigen	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	HSD11B1	Adipocytes	SDR26C1|HSD11B|HSD11	0.019	hydroxysteroid 11-beta dehydrogenase 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	AR	Adipocytes	AIS|NR3C4|SMAX1|HUMARA|DHTR|SBMA	0.01	androgen receptor	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	GDF10	Adipocytes	BMP-3b	0.004	growth differentiation factor 10	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	CYP1B1	Adipocytes	CP1B|GLC3A	0.01	cytochrome P450 family 1 subfamily B member 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	COL5A3	Adipocytes	NA	0.006	collagen type V alpha 3 chain	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	STEAP4	Adipocytes	FLJ23153|TIARP|STAMP2|SchLAH|TNFAIP9	0.006	STEAP4 metalloreductase	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	CCL11	Adipocytes	eotaxin|MGC22554|SCYA11	0.008	C-C motif chemokine ligand 11	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	NR1H3	Adipocytes	LXR-a|RLD-1|LXRa	0.008	nuclear receptor subfamily 1 group H member 3	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	DEPTOR	Adipocytes	DEP.6|FLJ12428|DEPDC6	0.01	DEP domain containing MTOR interacting protein	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	CYTH3	Adipocytes	GRP1|ARNO3|cytohesin-3|PSCD3	0.009	cytohesin 3	protein-coding gene	NA	Mesoderm	Connective tissue
None	TUSC5	Adipocytes	NA	0.005	NA	NA	1	Mesoderm	Connective tissue
Mm Hs	FMO1	Adipocytes	NA	0.009	flavin containing monooxygenase 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	ACADSB	Adipocytes	SBCAD|ACAD7	0.011	acyl-CoA dehydrogenase short/branched chain	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	XDH	Adipocytes	XOR|XO	0.008	xanthine dehydrogenase	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	RSPO3	Adipocytes	FLJ14440|THSD2	0.009	R-spondin 3	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	PTGES	Adipocytes	MGST-IV|PIG12|MGST1-L1|TP53I12|MGST1L1	0.012	prostaglandin E synthase	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	CREB3L1	Adipocytes	OASIS	0.013	cAMP responsive element binding protein 3 like 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	ANGPTL2	Adipocytes	NA	0.013	angiopoietin like 2	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	ADAM12	Adipocytes	MCMPMltna|MLTN	0.007	ADAM metallopeptidase domain 12	protein-coding gene	NA	Mesoderm	Connective tissue
Mm	ADH1	Adipocytes	NA	0.017	alcohol dehydrogenase 1 (class I)	protein coding gene	1	Mesoderm	Connective tissue
Mm Hs	LBP	Adipocytes	BPIFD2	0.014	lipopolysaccharide binding protein	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	NMB	Adipocytes	MGC2277|MGC3936|MGC17211	0.014	neuromedin B	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	RARRES2	Adipocytes	TIG2|HP10433	0.026	retinoic acid receptor responder 2	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	FST	Adipocytes	NA	0.019	follistatin	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	EGFR	Adipocytes	ERBB1|ERBB	0.015	epidermal growth factor receptor	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	CPXM1	Adipocytes	CPX-1|CPX1|CPXM	0.016	carboxypeptidase X, M14 family member 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	C3	Adipocytes	CPAMD1|ARMD9|C3a|C3b	0.034	complement C3	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	ADAMTS5	Adipocytes	ADMP-2|ADAMTS11	0.013	ADAM metallopeptidase with thrombospondin type 1 motif 5	protein-coding gene	1	Mesoderm	Connective tissue
Hs	MT2A	Adipocytes	MT2	0.055	metallothionein 2A	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	TIMP1	Adipocytes	TIMP|CLGI	0.08	TIMP metallopeptidase inhibitor 1	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	METRN	Adipocytes	MGC2601|C16orf23	0.015	meteorin, glial cell differentiation regulator	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	METRNL	Adipocytes	NA	0.031	meteorin like, glial cell differentiation regulator	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	MYO1C	Adipocytes	myr2	0.024	myosin IC	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	NQO1	Adipocytes	DHQU|QR1|NMOR1|DIA4	0.026	NAD(P)H quinone dehydrogenase 1	protein-coding gene	1	Mesoderm	Connective tissue
Mm Hs	SYAP1	Adipocytes	FLJ14495|PRO3113	0.046	synapse associated protein 1	protein-coding gene	NA	Mesoderm	Connective tissue
Mm Hs	CRNDE	Adipocytes	LOC643911|LINC00180|CRNDEP	0.028	colorectal neoplasia differentially expressed	other	NA	Mesoderm	Connective tissue
Mm Hs	AQP1	Airway epithelial cells	CHIP28|CO	0.032	aquaporin 1 (Colton blood group)	protein-coding gene	1	Endoderm	Trachea
Mm Hs	ADH7	Airway epithelial cells	ADH-4	0.007	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	protein-coding gene	1	Endoderm	Trachea
Mm Hs	MUC5B	Airway goblet cells	MG1	0.0	mucin 5B, oligomeric mucus/gel-forming	protein-coding gene	1	Mesoderm	Lungs
Mm Hs	MUC16	Airway goblet cells	FLJ14303	0.001	mucin 16, cell surface associated	protein-coding gene	1	Mesoderm	Lungs
Mm Hs	LTF	Airway goblet cells	HLF2	0.018	lactotransferrin	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	SCGB3A1	Airway goblet cells	UGRP2|HIN-1|HIN1|LU105|PnSP-2	0.003	secretoglobin family 3A member 1	protein-coding gene	1	Mesoderm	Lungs
Mm	DCPP1	Airway goblet cells	NA	0.001	demilune cell and parotid protein 1	protein coding gene	NA	Mesoderm	Lungs
Mm Hs	DMBT1	Airway goblet cells	GP340|muclin|SALSA|Gp-340|hensin|vomeroglandin	0.01	deleted in malignant brain tumors 1	protein-coding gene	NA	Mesoderm	Lungs
Mm	WFDC18	Airway goblet cells	NA	0.006	WAP four-disulfide core domain 18	protein coding gene	NA	Mesoderm	Lungs
Mm	DCPP3	Airway goblet cells	NA	0.001	demilune cell and parotid protein 3	protein coding gene	NA	Mesoderm	Lungs
Mm Hs	LIPF	Airway goblet cells	NA	0.001	lipase F, gastric type	protein-coding gene	NA	Mesoderm	Lungs
Mm	DCPP2	Airway goblet cells	NA	0.001	demilune cell and parotid protein 2	protein coding gene	NA	Mesoderm	Lungs
Mm Hs	MSLN	Airway goblet cells	MPF	0.004	mesothelin	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	AGR2	Airway goblet cells	XAG-2|HAG-2|PDIA17	0.014	anterior gradient 2, protein disulphide isomerase family member	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	GP2	Airway goblet cells	ZAP75	0.001	glycoprotein 2	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	PIGR	Airway goblet cells	NA	0.023	polymeric immunoglobulin receptor	protein-coding gene	NA	Mesoderm	Lungs
